VueOpeKey;VueTipKey;VueTipDescripcion;VueCatKey;VueCatDescripcion;OpeDsgKey;OpeKey;OpeDescripcion;OpeDsgDesignadorOACI;VueOpeVueloNumero;VueOpeMatricula;AerTipKey;AerTipDesignador;VueOpeOrigenArpKey;VueOpeAeropuertoOrigen;VueOpeDestinoArpKey;VueOpeAeropuertoDestino;VueOpeFecha;VueOpeFechaSalidaPlan;VueOpeHoraSalidaPlan;VueOpeFechaSalidaReal;VueOpeHoraSalidaReal;VueOpeFechaLlegadaPlan;VueOpeHoraLlegadaPlan;VueOpeFechaLlegadaReal;VueOpeHoraLlegadaReal;VueOpeNivel;VueOpeTD;VueOpeLP;VueOpeUsuarioC;VueOpeFechaC;VueOpeFechaHoraC;VueOpeAeropuertoC;VueOpeUsuarioM;VueOpeFechaM;VueOpeFechaHoraM;VueOpeAeropuertoM;ItiAutVueFchKey;VueBIOperacionDEP;VueBIOperacionARR;VueBIValidacionItinerarioDEP;VueBIValidacionItinerarioARR
29600;3;COMERCIAL;1;NACIONAL;7;7;LINEAS AEREAS NACIONALES (LANHSA);LNH;101;HRAYM;1;AT76;1;MHTG;4;MHRO;2018-01-01;2018-01-01;0020;;;2018-01-01;0300;;;210;0;0;;;;;;;;;;;;;
29601;3;COMERCIAL;1;NACIONAL;7;7;LINEAS AEREAS NACIONALES (LANHSA);LNH;101;HRAYM;1;AT76;1;MHTG;4;MHRO;2018-01-02;2018-01-02;0020;;;2018-01-02;0300;;;130;0;0;;;;;;;;;;;;;
29602;3;COMERCIAL;1;NACIONAL;7;7;LINEAS AEREAS NACIONALES (LANHSA);LNH;101;HRAYM;1;AT76;1;MHTG;4;MHRO;2018-01-03;2018-01-03;0020;;;2018-01-03;0300;;;130;0;0;;;;;;;;;;;;;
29603;3;COMERCIAL;1;NACIONAL;7;7;LINEAS AEREAS NACIONALES (LANHSA);LNH;101;TGTRC;1;AT72;1;MHTG;4;MHRO;2018-01-04;2018-01-04;0020;;;2018-01-04;0300;;;180;0;0;;;;;;;;;;;;;
29604;3;COMERCIAL;1;NACIONAL;7;7;LINEAS AEREAS NACIONALES (LANHSA);LNH;101;HRAYM;1;AT76;1;MHTG;4;MHRO;2018-01-05;2018-01-05;0020;;;2018-01-05;0300;;;160;0;0;;;;;;;;;;;;;
29605;3;COMERCIAL;1;NACIONAL;7;7;LINEAS AEREAS NACIONALES (LANHSA);LNH;101;HRAYM;1;AT76;1;MHTG;4;MHRO;2018-01-06;2018-01-06;0020;;;2018-01-06;0300;;;130;0;0;;;;;;;;;;;;;
29606;3;COMERCIAL;1;NACIONAL;7;7;LINEAS AEREAS NACIONALES (LANHSA);LNH;101;HRAYM;1;AT76;1;MHTG;4;MHRO;2018-01-07;2018-01-07;2230;;;2018-01-08;0130;;;140;0;0;;;;;;;;;;;;;
29607;3;COMERCIAL;1;NACIONAL;7;7;LINEAS AEREAS NACIONALES (LANHSA);LNH;101;HRAYM;1;AT76;1;MHTG;4;MHRO;2018-01-08;2018-01-08;2230;;;2018-01-09;0130;;;130;0;0;;;;;;;;;;;;;
29608;3;COMERCIAL;1;NACIONAL;7;7;LINEAS AEREAS NACIONALES (LANHSA);LNH;101;HRAYM;1;AT76;1;MHTG;4;MHRO;2018-01-09;2018-01-09;2230;;;2018-01-10;0300;;;150;0;0;;;;;;;;;;;;;
29609;3;COMERCIAL;1;NACIONAL;7;7;LINEAS AEREAS NACIONALES (LANHSA);LNH;101;TGTRD;1;AT76;1;MHTG;4;MHRO;2018-01-10;2018-01-10;0020;;;2018-01-30;0300;;;160;0;0;;;;;;;;;;;;;
