"Departamento","2010 Total","2010 %","2011 Total","2011 %","2012 Total","2012 %"
"Atlantida","1125","4.9","1400","5.6","1372","5.4"
"Colon","751","3.3","799","3.2","869","3.4"
"Comayagua","1273","5.6","1404","5.6","1836","7.3"
"Copan","1050","4.6","1145","4.6","1148","4.5"
"Cortes","4045","17.7","4371","17.5","4247","16.8"
"Choluteca","1221","5.3","1222","4.9","1237","4.9"
"El Paraiso","957","4.2","1133","4.5","1089","4.3"
"Francisco Morazan","4610","20.2","5085","20.3","4982","19.7"
"Gracias a Dios","24","0.1","13","0.1","25","0.1"
"Intibuca","779","3.4","819","3.3","750","3"
"Islas de la Bahia","137","0.6","113","0.5","97","0.4"
"La Paz","740","3.2","697","2.8","722","2.9"
"Lempira","942","4.1","1063","4.2","1062","4.2"
"Ocotepeque","433","1.9","490","2","451","1.8"
"Olancho","1035","4.5","1302","5.2","1372","5.4"
"Santa Barbara","1311","5.7","1428","5.7","1475","5.8"
"Valle","563","2.5","580","2.3","542","2.1"
"Yoro","1284","5.6","1465","5.9","1460","5.8"
"Ns/Nr","563","2.5","483","1.9","513","2"
