"Departamento","2010","2011","2012"
"Atlantida","1125","1400","1372"
"Colon","751","799","869"
"Comayagua","1273","1404","1836"
"Copan","1050","1145","1148"
"Cortes","4045","4371","4247"
"Choluteca","1221","1222","1237"
"El Paraiso","957","1133","1089"
"Francisco Morazan","4610","5085","4982"
"Gracias a Dios","24","13","25"
"Intibuca","779","819","750"
"Islas de la Bahia","137","113","97"
"La Paz","740","697","722"
"Lempira","942","1063","1062"
"Ocotepeque","433","490","451"
"Olancho","1035","1302","1372"
"Santa Barbara","1311","1428","1475"
"Valle","563","580","542"
"Yoro","1284","1465","1460"
"Ns/Nr","563","483","513"
"Totales","22843","25012","25249"
