"Departamento";"Total";"Hombre";"Mujer";"En Blanco"
"Atlantida";"1125";"713";"399";"13"
"Colon";"751";"481";"257";"13"
"Comayagua";"1273";"751";"491";"31"
"Copan";"1050";"636";"383";"31"
"Cortes";"4045";"2609";"1410";"26"
"Choluteca";"1221";"693";"501";"27"
"El Paraiso";"957";"551";"378";"28"
"Francisco Morazan";"4610";"2726";"1822";"62"
"Gracias a Dios";"24";"16";"8";"0"
"Intibuca";"779";"428";"334";"17"
"Islas de la Bahia";"137";"75";"57";"5"
"La Paz";"740";"389";"295";"56"
"Lempira";"942";"555";"351";"36"
"Ocotepeque";"433";"232";"178";"23"
"Olancho";"1035";"659";"328";"48"
"Santa Barbara";"1311";"786";"491";"34"
"Valle";"563";"317";"234";"12"
"Yoro";"1284";"813";"444";"27"
"Ns/Nr";"563";"339";"212";"12"
"Total Nacional";"22843";"13.769";"8.573";"501"
