VueTipKey;VueTipDescripcion;VueCatKey;VueCatDescripcion;OpeDsgKey;OpeKey;OpeDescripcion;OpeDsgDesignadorOACI;VueOpeVueloNumero;VueOpeMatricula;AerTipKey;AerTipDesignador;VueOpeOrigenArpKey;VueOpeAeropuertoOrigen;VueOpeDestinoArpKey;VueOpeAeropuertoDestino;VueOpeFecha;VueOpeFechaSalidaPlan;VueOpeHoraSalidaPlan;VueOpeFechaSalidaReal;VueOpeHoraSalidaReal;VueOpeFechaLlegadaPlan;VueOpeHoraLlegadaPlan;VueOpeFechaLlegadaReal;VueOpeHoraLlegadaReal;VueOpeNivel;VueOpeTD;VueOpeLP;VueOpeUsuarioC;VueOpeFechaC;VueOpeFechaHoraC;VueOpeAeropuertoC;VueOpeUsuarioM;VueOpeFechaM;VueOpeFechaHoraM;VueOpeAeropuertoM;ItiAutVueFchKey
1;PRIVADO;2;INTERNACIONAL;\N;\N;\N;PV;5457;HP1910D;1;B752;0;MGGT;2;MHLM;2018-01-31;2018-01-31;1837;2018-01-31;1837;2018-01-31;1905;2018-01-31;1905;250;0;0;SYSADM;2018-01-31;2018-01-31 00:00:00;MHLM;\N;\N;\N;\N;0
2;MILITAR;2;INTERNACIONAL;\N;\N;\N;M;537;N520TA;1;A319;0;KMIA;2;MHLM;2018-01-31;2018-01-31;2139;2018-01-31;2139;2018-01-31;2236;2018-01-31;2236;330;0;0;SYSADM;2018-01-31;2018-01-31 00:00:00;MHLM;\N;\N;\N;\N;0
1;PRIVADO;2;INTERNACIONAL;\N;\N;\N;PV;378;N465UP;1;B752;0;KMIA;2;MHLM;2018-01-31;2018-01-31;1454;2018-01-31;1454;2018-01-31;1553;2018-01-31;1553;350;0;0;SYSADM;2018-01-31;2018-01-31 00:00:00;MHLM;\N;\N;\N;\N;0
1;PRIVADO;2;INTERNACIONAL;\N;\N;\N;PV;1434;N38257;1;B738;0;KIAH;4;MHRO;2018-01-31;2018-01-31;1826;2018-01-31;1826;2018-01-31;1854;2018-01-31;1854;330;0;0;SYSADM;2018-01-31;2018-01-31 00:00:00;MHRO;\N;\N;\N;\N;0
1;PRIVADO;2;INTERNACIONAL;\N;\N;\N;PV;1488;N33266;1;B738;2;MHLM;0;KIAH;2018-01-31;2018-01-31;1942;2018-01-31;1942;2018-01-31;2009;2018-01-31;2009;360;0;0;SYSADM;2018-01-31;2018-01-31 00:00:00;MHLM;\N;\N;\N;\N;0
1;PRIVADO;1;NACIONAL;\N;\N;\N;PV;729;HRAYJ;1;AT76;4;MHRO;2;MHLM;2018-01-31;2018-01-31;1726;2018-01-31;1726;2018-01-31;1726;2018-01-31;1726;120;0;0;SYSADM;2018-01-31;2018-01-31 00:00:00;MHRO;\N;\N;\N;\N;0
2;MILITAR;2;INTERNACIONAL;\N;\N;\N;M;674;XAALL;1;E190;0;MMMX;2;MHLM;2018-01-31;2018-01-31;1818;2018-01-31;1818;2018-01-31;1900;2018-01-31;1900;370;0;0;SYSADM;2018-01-31;2018-01-31 00:00:00;MHLM;\N;\N;\N;\N;0
1;PRIVADO;2;INTERNACIONAL;\N;\N;\N;PV;753;HRAYM;1;AT76;2;MHLM;0;MGGT;2018-01-31;2018-01-31;0059;2018-01-31;0059;2018-01-31;0059;2018-01-31;0059;160;0;0;SYSADM;2018-01-31;2018-01-31 00:00:00;MHLM;\N;\N;\N;\N;0
1;PRIVADO;2;INTERNACIONAL;\N;\N;\N;PV;145;HP1521;1;B737;1;MHTG;5;MROC;2018-01-31;2018-01-31;1926;2018-01-31;1926;2018-01-31;2015;2018-01-31;2015;390;0;0;SYSADM;2018-01-31;2018-01-31 00:00:00;MHTG;\N;\N;\N;\N;0
1;PRIVADO;2;INTERNACIONAL;\N;\N;\N;PV;711;TGTRC;1;AT72;1;MHTG;5;MROC;2018-01-31;2018-01-31;1730;2018-01-31;1730;2018-01-31;1730;2018-01-31;1730;170;0;0;SYSADM;2018-01-31;2018-01-31 00:00:00;MHTG;\N;\N;\N;\N;0
